id,label
1,0.535742326
2,0.015099278
3,0.014431563
4,0.939005565
5,0.106985585
6,0.130706535
7,0.141400941
8,0.065287356
9,0.27932311
10,0.086812587
11,0.089361232
12,0.014707829
13,0.152082096
14,0.01500997
15,0.079951699
16,0.065287356
17,0.01638853
18,0.889957455
19,0.01648893
20,0.102311817
21,0.022130296
22,0.075848515
23,0.065287356
24,0.018590623
25,0.843181717
26,0.077865551
27,0.082877541
28,0.032218713
29,0.065287356
30,0.085462097
31,0.214111889
32,0.241504678
33,0.02155587
34,0.100782525
35,0.015166929
36,0.012582682
37,0.01476063
38,0.013944881
39,0.065287356
40,0.220688728
41,0.146598741
42,0.82278091
43,0.015469393
44,0.07581049
45,0.044420092
46,0.180955528
47,0.015063608
48,0.100597609
49,0.073122627
50,0.939449054
51,0.352549675
52,0.012418173
53,0.013832709
54,0.013304919
55,0.123947653
56,0.436709916
57,0.088960719
58,0.851883149
59,0.149646796
60,0.065287356
61,0.070238311
62,0.019329584
63,0.105819783
64,0.032345646
65,0.040668326
66,0.087344596
67,0.014579931
68,0.373111409
69,0.076523087
70,0.130170366
71,0.01341829
72,0.942912061
73,0.013645164
74,0.172399551
75,0.839906079
76,0.013298682
77,0.077829594
78,0.230605387
79,0.013470434
80,0.014698507
81,0.171591178
82,0.021301864
83,0.067295344
84,0.077237324
85,0.015667277
86,0.04785357
87,0.843915203
88,0.013782949
89,0.158260581
90,0.014935275
91,0.013074191
92,0.01515135
93,0.069221558
94,0.213022326
95,0.016869376
96,0.013537832
97,0.885814421
98,0.512287914
99,0.20607483
100,0.398375592
101,0.013101757
102,0.941085638
103,0.148192662
104,0.077824158
105,0.012898249
106,0.065287356
107,0.153960263
108,0.134669327
109,0.022839858
110,0.017961747
111,0.070737222
112,0.021953675
113,0.013298853
114,0.43231852
115,0.320228735
116,0.065287356
117,0.094963681
118,0.018700693
119,0.18470597
120,0.062975862
121,0.015996434
122,0.139625471
123,0.015377298
124,0.014919185
125,0.194050033
126,0.428081274
127,0.01518816
128,0.102420867
129,0.881249372
130,0.167140805
131,0.014393603
132,0.01445517
133,0.272742891
134,0.019428029
135,0.01457289
136,0.065287356
137,0.231189184
138,0.281406255
139,0.30062899
140,0.187630806
141,0.206776041
142,0.01468992
143,0.223251813
144,0.01516537
145,0.955818652
146,0.965545109
147,0.104128873
148,0.540847367
149,0.083768706
150,0.01567642
151,0.340334854
152,0.065287356
153,0.095698808
154,0.065287356
155,0.301437912
156,0.015849278
157,0.065287356
158,0.047827337
159,0.013598361
160,0.895280724
161,0.016557208
162,0.106181402
163,0.024419099
164,0.889249129
165,0.175168396
166,0.085034278
167,0.88999529
168,0.013098492
169,0.325806564
170,0.065287356
171,0.372427488
172,0.014213613
173,0.112544785
174,0.070002528
175,0.041687278
176,0.015185358
177,0.014088426
178,0.035103867
179,0.087634068
180,0.21455818
181,0.015157681
182,0.035080205
183,0.116397813
184,0.946267129
185,0.014548408
186,0.015804181
187,0.152007895
188,0.103335156
189,0.065287356
190,0.01403991
191,0.080283653
192,0.273632734
193,0.403861367
194,0.409509162
195,0.086119537
196,0.017211925
197,0.013788664
198,0.090845524
199,0.161736404
200,0.179223911
201,0.014748282
202,0.088803668
203,0.108369721
204,0.091830137
205,0.094124478
206,0.24870397
207,0.322843324
208,0.017743253
209,0.183530005
210,0.013911821
211,0.017946679
212,0.015461061
213,0.013471306
214,0.134882076
215,0.015234066
216,0.071137562
217,0.365832582
218,0.097708039
219,0.885513321
220,0.04638639
221,0.334234021
222,0.090791077
223,0.422623455
224,0.119828294
225,0.114026616
226,0.014958793
227,0.014836783
228,0.939348926
229,0.01466082
230,0.014969629
231,0.141647181
232,0.013976556
233,0.859326651
234,0.065287356
235,0.260831729
236,0.10839479
237,0.015121849
238,0.841338833
239,0.012860896
240,0.07352058
241,0.014712084
242,0.071020191
243,0.017003396
244,0.078328344
245,0.091270483
246,0.014652108
247,0.219908638
248,0.531659656
249,0.134021207
250,0.852554395
251,0.35803427
252,0.751122853
253,0.065287356
254,0.456286446
255,0.018918957
256,0.065287356
257,0.015625376
258,0.014509483
259,0.863213282
260,0.034382614
261,0.015057176
262,0.014444047
263,0.015463413
264,0.041128423
265,0.531209619
266,0.542525553
267,0.161500178
268,0.075544646
269,0.090444016
270,0.904206598
271,0.706814936
272,0.065287356
273,0.599147027
274,0.482343932
275,0.014861201
276,0.064686276
277,0.015593284
278,0.267932518
279,0.071137562
280,0.10915655
281,0.218130907
282,0.11836575
283,0.533491769
284,0.031241507
285,0.883476432
286,0.110711405
287,0.086572297
288,0.712222826
289,0.045758259
290,0.2289396
291,0.189057698
292,0.140402807
293,0.01571729
294,0.015260096
295,0.01244266
296,0.883487692
297,0.011052834
298,0.785318836
299,0.081183841
300,0.065287356
301,0.255243237
302,0.012758576
303,0.063355112
304,0.682907244
305,0.8862798
306,0.066224775
307,0.014897898
308,0.028346653
309,0.015146918
310,0.01530665
311,0.876782871
312,0.081442078
313,0.312516297
314,0.011485882
315,0.095786907
316,0.068399713
